Title,Title_link,Thumbnail,sc-b8b74125-0,sc-300a8231-6,ipc-rating-star--rating,ipc-rating-star--voteCount,sc-300a8231-61,sc-300a8231-4,sc-300a8231-62
Squid Game,https://www.imdb.com/title/tt10919420/?ref_=chttvm_t_1,"https://m.media-amazon.com/images/M/MV5BYTYzMTlmNDctNmVkNS00YzRlLWE5MjAtODdjZWRkYzRlNWVlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",1 (),2021–2025,8,(618K),17 eps,TV Series,TV-MA
Landman,https://www.imdb.com/title/tt14186672/?ref_=chttvm_t_2,"https://m.media-amazon.com/images/M/MV5BNTRkY2ZkNzUtMzBlNC00NTc0LWE0ZDQtMWZiNGU5OWEyZGU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",2 (),2024–,8.3,(23K),10 eps,TV Series,TV-MA
Missing You,https://www.imdb.com/title/tt31019484/?ref_=chttvm_t_3,"https://m.media-amazon.com/images/M/MV5BMzBiMzBjYTQtYjkyNy00NjhhLTlkNmItN2JiZTk3MmE1MjY5XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",3 (894),2025,6.1,(10K),5 eps,TV Mini Series,TV-MA
Silo,https://www.imdb.com/title/tt14688458/?ref_=chttvm_t_4,"https://m.media-amazon.com/images/M/MV5BNjA5ODM4YTEtNDcxZi00N2ViLTg0MTgtNGQxNjBjZWY5YTk3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",4 (6),2023–,8.1,(158K),22 eps,TV Series,TV-MA
Yellowstone,https://www.imdb.com/title/tt4236770/?ref_=chttvm_t_5,"https://m.media-amazon.com/images/M/MV5BYzE2ODQ0NmQtYmMxMS00MGRlLTgwOGEtYjRkN2FkYmZlN2JlXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg",5 (),2018–2024,8.6,(254K),53 eps,TV Series,TV-MA
The Day of the Jackal,https://www.imdb.com/title/tt24053860/?ref_=chttvm_t_6,"https://m.media-amazon.com/images/M/MV5BYmI3NDY1MGYtNTJmNy00NjA3LTk1OWUtM2IyN2M3MjFiMTZkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",6 (),2024–,8.2,(54K),11 eps,TV Series,TV-MA
Black Doves,https://www.imdb.com/title/tt27995113/?ref_=chttvm_t_7,"https://m.media-amazon.com/images/M/MV5BMDQyNzE2NmYtMzExMy00NTBjLWE4ODItNjI1OTNkZWVjNDUyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",7 (3),2024–,7.2,(43K),6 eps,TV Series,TV-MA
Dune: Prophecy,https://www.imdb.com/title/tt10466872/?ref_=chttvm_t_8,"https://m.media-amazon.com/images/M/MV5BOTc2YTFiOTItZmRiNi00OWE5LThhOTEtMmZhMTkzYmRiNjIxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",8 (5),2024–,7.3,(36K),7 eps,TV Series,TV-MA
What If...?,https://www.imdb.com/title/tt10168312/?ref_=chttvm_t_9,"https://m.media-amazon.com/images/M/MV5BYWFiOTcwNzItMTg5Mi00ZTU4LThkZWYtYWNmZWQ1ODE5ZTVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",9 (1),2021–2024,7.4,(151K),26 eps,TV Series,TV-14
Dexter: Original Sin,https://www.imdb.com/title/tt32252772/?ref_=chttvm_t_10,"https://m.media-amazon.com/images/M/MV5BYTVlZjNhYjktMWYyNy00MmYyLTk3ZjctMDQwMWIwYjdkODc3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",10 (3),2024–,8.3,(10K),10 eps,TV Series,
No Good Deed,https://www.imdb.com/title/tt19891306/?ref_=chttvm_t_11,"https://m.media-amazon.com/images/M/MV5BYmI0Y2Y0YWQtZTUzMS00MjRkLTk2ZDUtMWEwZDgxZmZlZTVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",11 (1),2024–,7,(11K),8 eps,TV Series,TV-MA
